Year	Average	Median	Maximum	Words	Entropy	Weibull	scale	shape	LogNormal	Rayleigh	FoldedNormal	Normal	HalfNormal	GeneralPareto
1789	62.09	51	140	8425	2.32	-	-	-	-	-	-	-	-	-
1793	33.75	29.5	58	4053	1.39	-	-	-	-	-	-	-	-	-
1797	62.62	38	727	3743	2.17	-	-	-	-	-	-	-	-	-
1801	41.88	34	238	5425	2.15	-	-	-	-	-	-	-	-	-
1805	47.93	38	125	4384	2.07	-	-	-	-	-	-	-	-	-
1809	55.86	44	373	4792	1.72	-	-	-	-	-	-	-	-	-
1813	36.67	36	102	3323	1.86	-	-	-	-	-	-	-	-	-
1817	27.37	23	106	2309	1.8	0.8	28.36	1.82	0.52	0.33	-	-	-	-
1821	33.53	29	106	3623	1.94	0.41	37.91	1.9	0.51	0.2	-	-	-	-
1825	38.25	30	206	4460	2.05	0.79	36.92	1.87	0.97	-	0.56	-	-	-
1829	44.92	46	80	2425	1.68	-	-	-	-	-	-	-	-	-
1833	39	36.5	87	3956	2.05	-	-	-	-	-	-	-	-	-
1837	41.76	41	129	2549	2.15	-	-	-	-	-	-	-	-	-
1841	39.37	34	161	3367	2.07	0.38	43.93	1.87	0.98	0.1	-	-	-	-
1845	31.32	26	95	2431	1.92	0.3	35.41	1.76	0.72	0.02	-	-	-	-
1849	49.41	40	98	2263	1.93	-	-	-	-	-	-	-	-	-
1853	31.98	29	108	2144	1.81	-	-	-	-	-	-	-	-	-
1857	31.67	31	69	2972	1.77	0.96	35.75	2.33	-	-	0.97	0.9	-	-
1861	26.84	24	132	2368	1.82	0.91	29.3	1.7	0.45	-	-	0.16	-	-
1865	26.81	19	78	3326	1.7	-	-	-	-	-	-	-	-	-
1869	27.9	24.5	70	2103	1.66	-	-	-	-	-	-	-	-	-
1873	31.02	28	175	2213	1.72	0.85	31.25	2.03	-	0.86	0.62	-	-	-
1877	41.86	40	110	2055	2.07	-	-	-	-	-	-	-	-	-
1881	26.77	26	107	1582	1.67	-	-	-	-	-	-	-	-	-
1885	38.09	34	94	1453	1.88	0.8	43.01	2.18	-	-	0.66	0.59	-	-
1889	27.92	26	81	3884	1.75	0.54	31.63	2	-	0.54	0.24	-	-	-
1893	34.67	36	65	1462	1.66	-	-	-	-	-	-	-	-	-
1897	30.43	28	100	1570	1.8	0.57	34.43	1.96	0.52	0.49	-	-	-	-
1901	22.13	19	85	1631	1.68	-	-	-	-	-	-	-	-	-
1905	29.79	27	94	2819	1.81	-	-	-	-	-	-	-	-	-
1909	33.91	31.5	98	1803	1.98	0.97	38.26	1.88	-	0.72	0.68	-	-	-
1913	24.99	16	190	1875	1.74	0.18	25	1.45	0.54	-	-	-	0.12	-
1917	25.8	16	209	2073	1.71	0.3	25.26	1.48	0.85	-	-	-	0.12	-
1921	22.45	20	82	2907	1.66	0.43	25.33	1.71	0.18	0.06	-	-	-	-
1925	20.68	18	93	1785	1.45	0.2	23	2.03	0.08	0.25	-	-	-	-
1929	21.15	19	123	1699	1.5	0.26	22.24	1.87	-	0.13	0.03	-	-	-
1933	22.06	20	75	1316	1.62	-	-	-	-	-	-	-	-	-
1937	20.26	19	49	2470	1.48	-	-	-	-	-	-	-	-	-
1941	19.35	16	65	1522	1.53	0.73	21.74	1.62	0.75	-	0.17	-	-	-
1945	20.92	20	40	2011	1.29	-	-	-	-	-	-	-	-	-
1949	19.51	18	55	1339	1.24	0.54	22.02	2.38	0.54	-	0.19	-	-	-
1953	20.43	18	53	1213	1.47	-	-	-	-	-	-	-	-	-
1957	17.73	15	51	2157	1.34	0.24	20.08	2.01	0.56	0.26	-	-	-	-
1961	25.75	21	78	1676	1.78	-	-	-	-	-	-	-	-	-
1965	15.72	14	60	1334	1.29	-	-	-	-	-	-	-	-	-
1969	20.42	20	63	1717	1.47	-	-	-	-	-	-	-	-	-
1973	25.87	22	71	1116	1.66	-	-	-	-	-	-	-	-	-
1977	23.33	19	137	2317	1.44	0.9	22.56	2.34	-	0.75	-	0.65	-	-
1981	18.37	17	59	1210	1.37	-	-	-	-	-	-	-	-	-
1985	20.56	18	97	983	1.49	0.22	22.1	1.88	0.4	0.09	-	-	-	-
1989	16.38	15	48	1170	1.27	0.49	18.53	1.95	0.72	0.5	-	-	-	-
1993	16.88	16	67	697	1.22	0.89	18.49	2.34	-	0.54	0.59	-	-	-
1997	19.14	16.5	68	544	1.39	0.18	20.73	2.03	0.41	0.2	-	-	-	-
2001	16.31	15	50	1123	1.08	0.45	18	2.5	0.19	-	0.18	-	-	-
2005	20.97	20	51	1428	1.4	0.92	23.65	2.29	-	-	0.56	0.53	-	-
2009	21.53	19	85	1087	1.62	0.97	23.3	1.52	-	-	-	-	0.23	0.16
2013	25.28	22	85	1173	1.61	0.63	27.78	2.25	0.75	0.6	-	-	-	-
2017	15.46	13.5	74	1453	1.26	0.71	16.67	1.74	-	-	0.51	0.33	-	-
2021	15.38	13	63	2538	1.31	0.67	17.18	1.55	0.31	-	0.01	-	-	-
