1895Liberal	26	41	27	73	28	22	33	15	34	24	11	11	17	45	44	49	25	14	14	31	56	23	15	11	89	38	54	56	41	8	7	23	47	73	1	69	10	17	82	23	21	80	111	29	43	16	40	31	50	44	110	53	11	18	8	28	6	39	26	19	23	8	21	17	31	16	9	32	43	47	26	19	19	27	89	43	29	57	16	25	21	25	25	36	45	23	9	21	119	17	17	46	20	29	13	15	45	21	47	23	60	20	13	16	20	7	13	8	8	11	22	16	30	21	5	13	10	28	22	61	61	37	31	12	33	8	26	15	11	71	27	63	35	6	51	19	21	58	61	12	11	11	35	53	36	20	35	44	8	36	21	6	54	43	26	12	29	21	37	6	18	6	32	6	14	40	15	21	31	65	43	47	4	21	57	14	18	41	11	41	48	6	17	21	42	51	42	10	10	5	10	19	22	1	14	61	34	11	37	42	35	37	62	28	47	40	9	7	25	26	38	40	17	31	21	17	16	8	21	55	52	15	14	17	35	20	14	42	30	36	11	21	67	47	57	12	19	14	28	24	57	26	33	49	20	28	15	47	25	41	37	34	43	46	20	58	28	6	58	22	59	15	13	26	10	6	30	77	37																																																																																																																																																																																																																																																																																																	
1896Liberal	5	15	39	37	11	28	24	22	24	30	12	25	29	7	43	39	26	30	15	16	29	10	12	64	11	12	19	11	9	49	16	15	17	8	8	5	28	50	23	48	27	38	39	28	40	22	58	31	23	8	14	28	7	26	17	15	5	22	14	62	37	17	27	14	32	20	42	34	9	20	66	12	7	15	22	61	55	54	48	8	20	31	27	26	16	21	8	54	32	10	9	68	35	11	49	50	20	18	19	30	11	10	22	15	10	10	83	1	33	23	32	18	82	49	25	35	10	30	33	7	17	14	46	24	43	25	30	34	12	16	15	29	14	12	20	17	61	15	22	9	18	33	35	37	21	48	8	28	17	16	26	8	25	15	14	39	12	65	60	21	44	28	9	13	55	18	9	7	7	18	13	20	16	24	11	34	9	26	16	10	27	18	19	19	20	33	6	7	30	22	68	11	7	9	29	20	30	10	17	5	13	38	4	44	60	7	36	27	19	49	9	10	66	32	13	93	9	6	7	42	9	46	28	17	37	18	21	16	25	20	38	22	13	60	35	17	23	33	10	4	30	15	36	8	34	48	8	22	15	42	9	17	16	7	20	34	4	13	39	23	16	15	26	21	55	30	2	46	14	33	38	32	13	27	19	9	62	71	5	34	4	22	20	20	15	28	35	25	10	18	88	5	21	34	19	6	17	33	47	28	9	43	33	8	24	15	34	42	31	50	18	9	17	11	21	25	18	14	23	10	53	28	48	52																																																																																																																																																																																																																																										
1897Liberal	59	44	10	23	25	31	44	18	71	41	27	7	32	15	15	11	26	9	40	19	14	31	5	7	5	16	36	5	22	35	9	33	9	10	38	43	43	4	9	11	9	25	36	25	41	26	22	57	25	6	5	31	11	46	15	33	17	24	9	8	51	31	26	24	18	6	14	6	15	26	16	6	12	11	28	11	3	42	7	9	30	23	24	7	7	21	14	24	15	8	29	28	50	4	45	11	19	8	23	17	61	6	13	12	34	10	27	22	43	15	13	31	7	34	9	11	27	8	13	36	58	24	26	13	15	11	11	36	37	33	15	11	4	35	56	30	36	24	27	20	23	35	51	2	5	7	15	10	21	63	17	24	35	16	16	20	6	26	16	8	12	4	6	23	18	28	21	7	13	16	3	12	30	73	28	14	29	9	9	14	5	18	14	27	6	15	26	61	26	14	6	43	66	14	13	4	15	7	3	24	33	15	14	12	9	17	29	12	11	13	11	5	34	22	12	9	72	8	12	29	16	7	15	14	53	52	16	59	31	27	12	65	59	14	18	39	2	48	8	3	73	19	13	13	18	80	33	39	15	39	15	25	25	31	47	61	37	4	15	7	3	9	33	40	15	20	4	42	4	28	12	27	14	7	26	24	98	3	28	39	37	13	53	21	8	24	15	63	40	13	15	6	26	4	26	13	12	35	22	27	41	30	11	39	6	61	24	12	20	28	14	11	33	14	12	4	10	20	10	53	8	11	25	9	21	4	30	32	11	17	12	6	43	16	19	47	9	81	34	6	19	13	26	16	21	10	18	28	8	13	25	7	15	20	18	7	13	13	1	6	9	5	31	20	12	53																																																																																																																																																																																																
1897Conservative	146	18	22	34	27	66	73	31	11	58	34	54	32	91	74	61	34	42	11	32	33	37	11	22	27	37	2	68	19	9	49	8	70	26	15	37	9	73	5	63	24	15	19	37	7	12	24	13	48	19	21	19	15	22	40	26	20	9	35	13	13	35	23	7	32	36	40	41	7	14	23	29	6	3	15	27	7	38	42	11	24	52	29	23	9	11	22	15	71	27	42	23	13	57	37	28	108	11	97	36	11	42	11	27	54	25	26	98	23	10	11	48	5	28	7	68	25	50	39	13	21	14	31	28	20	16	11	39	37	11	68	22	11	26	27	29	10	69	14	25	19	55	29	18	24	8	13	30	22	3	26	26	10	67	39	57	12	17	17	63	16	24	21	9	30	23	38	10	43	7	25	6	7	19	33	9	71																																																																																																																																																																																																																																																																																																																																																																																													
1899Liberal	18	47	9	20	52	31	68	17	73	12	22	31	67	21	50	10	2	16	15	14	36	45	16	55	34	53	3	74	9	16	38	21	14	22	17	15	12	11	14	31	50	48	11	16	24	27	13	28	18	17	54	14	16	27	35	27	50	6	21	17	36	32	22	48	20	22	4	3	7	15	38	31	18	139	84	30	14	48	12	43	19	82	10	46	16	19	12	27	13	20	73	34	67	19	36	41	14	16	99	13	22	14	4	13	28	83	25	91	35	39	24	61	23	17	24	20	46	20	6	22	37	38	9	14	3	29	15	13	39	29	69	36	15	48	34	25	48	26	23	35	25	47	15	6	65	14	38	61	25	59	23	43	18	56	40	13	24	41	5	90	18	24	49	10	24	49	18	17	17	34	12	38	43	29	36	4	21	40	12	16	15	13	23	102	26	70	11	31	17	39	26	36	19	32	28	28	26	48	15	69	4	18	7	39	20	30	1	27	38	11	35	10	15	14	23	10	88	30	17	3	45	17	59	14	25	49	47	15	37	8	47	27	18	72																																																																																																																																																																																																																																																																																																																																				
1900Conservative	43	33	56	8	50	20	36	12	60	35	29	12	36	7	29	33	30	20	21	15	58	74	43	13	16	72	13	19	21	42	35	44	30	43	42	26	12	88	10	29	18	89																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1901Liberal	11	65	33	39	25	19	40	26	19	43	69	8	18	32	76	36	46	16	31	13	13	19	2	9	49	5	19	17	34	18	14	18	24	42	22	33	14	22	120	46	20	28	63	28	36	41	28	16	3	4	4	6	10	11	59	7	4	6	18	16	8	4	61	10	23	15	29	66	12	40	8	20	22	29	4	21	16	65	24	5	3	83	34	34	11	59	7	12	53	8	49	14	8	7	14	12	31	47	26	47	94	29	21	11	5	28	18	32	8	20	53	102	8	35	7	20	12	20	8	4	27	21	4	7	14	4	21	2	10	10	10	31	21	11	21	8	45	9	7	3	25	9	29	9	14	41	16	20	35	12	8	33	14	7	18	6	23	26	50	6	14	27	10	55	27	41	38	22	27	6	24	52	9	51	6	31	12	13	9	48	5	8	24	32	45	11	12	23	25	21	46	57	22	26	10	13	13	29	8	22	34	18	31	51	9	17	23	5	22	13	21	27	40	57	1	6	7	25	13	11	5	20	15	22	31	9	32	6	14	26	8	10	13	23	6	4	24	7	5	5	14	25	52	25	3	71	7	47	22	19	25	12	25	33	11	72	16	27	44	26																																																																																																																																																																																																																																																																																																										
1902Conservative	54	68	82	48	2	5	27	78	34	16	41	15	53	18	40	61	20	14	25	24	6	12	80	17	35	32	17	96	25	55	126	47	80	23	89	20	6	3	45	5	48	8	36	26	23	33	59	17	27	2	13	24	28	5	8	35	33	46	21	70	9	30	34	9	5	18	35	47	58	42	49	84	70	57	9	97	32	30	28	10	53	17	54	11	8	158	10	106	45	5	24	46	4	4	10	16	14	71	85	26	6	64	5	29	52	53	119	9	7	92	59	23	32	114	50	24	81	6	34	29	24	8	12	34	5	9	11	41	31	41	27	13	10	70	86	22	30	47	20	22	13	7	21	55	6	33	2	3	11	27	63	22	5	5	8	51	16	19	41	28	17	32	78	5	27	6	60	8	12	21	9	4	45	28	58	37	7	20	37	17	9	37	8	22	50	13	19	34	80	38	25	13	45	13	9	40	63	6	19	15	7	6	31	24	57	50	62	6	72	62	40	75	30	9	33	4	46	4	26	9	2	20	8	54	52	17	32	98	8	25	22	38	15	22	12	98																																																																																																																																																																																																																																																																																																																																		
1903Conservative	65	24	30	56	27	40	32	51	16	8	30	36	41	25	140	65	22	42	27	8	9	77	38	17	12	16	70	22	34	21	87	5	36	98	69	13	4	12	51	11	77	3	3	69	93	101	22	54	7	9	8	22	39	9	50	71	48	39	31	22	15	12	79	23	50	5	53	19	9	45	8	67	29	124	42	104	24	43	148	28	10	12	59	11	14	24	15	21	13	37	5	5	37	34	13	10	38	29	36	37	8	28	2	52	100	60	19	50	15	26	38	37	19	66	24	45	27	12	58	46	51	106	9	29	4	50	18	19	30	51	72	8	8	50	12	2	19	60	2	6	7	79	26	74	9	32	39	13	19	45	20	10	20	84	41	15	33	31	40	46	18	16	58	30	20	2	9	22	32	6	22	31	17	23	43	7	29	3	16	38	40	59	34	10	18	12	12	52	4	81	12	7	39	17	15	59	61	16	10	8	8	29	115	18																																																																																																																																																																																																																																																																																																																																																																		
1903Liberal	74	49	6	54	36	124	26	94	14	63	35	22	36	36	9	13	17	18	7	2	5	39	24	36	6	41	6	35	17	47	14	11	63	45	50	12	15	5	35	6	23	35	27	34	8	20	17	10	8	21	21	38	31	48	30	54	5	7	8	43	29	9	11	47	7	21	33	9	28	71	31	49	49	45	33	13	21	25	41	24	6	12	56	70	13	58	12	36	12	40	66	30	9	6	19	17	17	9	21	16	33	66	31	23	39	23	37	10	43	13	21	12	8	11	40	45	100	25	10	10	33	8	11	19	30	43	30	18	39	7	6	18	7	28	61	5	27	6	35	20	13	17	26	1	29	35	6	23	17	47	7	50	36	17	24	8	31	8	29	20	62	3	41	28	5	14	23	44	22	9	36	8	23	40	27	36	25	28	25	4	33	8	27	10	61	18	53	9	19	27	24	25	57	6	21	30	16	48	30	17	78	36	35	32	56	4	22	10	2	6	23	30	11	29	12	24	22	53																																																																																																																																																																																																																																																																																																																																																				
