¹	1789	1793	1797	1801	1805	1809	1813	1817	1821	1825	1829	1833	1837	1841	1845	1849	1853	1857	1861	1865	1869	1873	1877	1881	1885	1889	1893	1897	1901	1905	1909	1913	1917	1921	1925	1929	1933	1937	1941	1945	1949	1953	1957	1961	1965	1969	1973	1977	1981	1985	1989	1993	1997	2001	2005	2009	2013	2017	2021
1	46	21	79	89	60	52	55	39	35	71	46	36	51	99	28	38	37	42	50	26	31	17	33	27	35	69	24	48	21	58	17	7	27	47	18	20	33	19	20	30	23	32	51	44	23	36	11	21	51	45	40	11	27	22	51	28	35	20	27
2	86	38	86	84	26	44	38	38	23	42	44	43	30	55	12	92	34	53	25	16	26	31	46	34	31	13	54	47	3	21	36	16	35	20	18	17	15	30	16	16	26	53	23	23	7	14	41	19	33	6	20	9	51	12	32	23	7	26	14
3	69	18	30	45	27	27	72	41	19	76	55	28	54	53	36	16	35	53	31	44	12	24	46	28	26	70	45	31	14	32	27	5	45	38	25	25	12	34	17	13	18	30	17	6	20	11	19	23	21	19	33	17	8	13	22	8	27	17	18
4	34	58	45	52	29	20	20	17	34	14	25	55	129	91	95	60	29	41	10	32	12	41	43	11	36	13	65	14	17	34	29	9	10	42	43	29	14	6	20	25	8	18	14	22	10	18	12	78	18	13	29	18	20	16	16	16	57	4	17
5	88		54	80	24	42	102	45	52	7	36	40	98	13	34	32	14	44	19	14	24	20	110	11	28	9	40	20	22	94	43	14	8	14	36	2	33	8	40	35	16	38	6	38	7	6	39	20	59	1	29	26	21	23	23	14	19	4	19
6	104		82	48	56	45	36	35	41	57	49	51	24	53	47	22	47	19	15	19	58	32	52	23	33	60	46	21	20	13	30	5	15	32	34	23	30	29	11	34	11	1	5	14	4	24	38	16	7	19	16	16	26	21	11	40	34	7	10
7	37		22	11	13	57	37	31	52	34	56	37	37	90	61	40	36	20	33	8	20	38	18	44	50	46	25	10	26	14	44	11	7	18	22	20	16	16	19	9	13	18	8	78	9	20	12	32	12	11	19	13	18	50	40	4	26	18	9
8	25		33	21	17	45	38	23	47	51	33	17	52	41	37	29	37	34	18	39	14	31	27	28	12	22	39	24	23	33	34	20	17	11	8	14	15	34	16	5	26	23	17	40	7	14	38	19	16	19	9	13	7	20	39	9	24	19	45
9	91		14	44	38	52	39	23	38	39	25	32	60	36	49	92	48	44	132	32	19	29	12	62	23	43	51	48	28	17	23	11	77	35	19	20	7	19	16	10	26	8	35	5	24	30	31	18	17	26	19	18	41	25	28	12	8	4	40
10	19		28	65	45	24	47	14	22	31	56	51	59	44	31	87	26	42	47	22	31	8	23	47	39	45	34	51	18	38	34	21	7	22	18	24	65	28	6	20	28	28	17	18	51	13	29	39	11	11	19	19	68	14	17	13	28	2	9
11	30		57	11	68	15	25	6	12	35	36	55	15	12	77	52	16	25	39	8	33	55	48	28	49	37	18	28	12	23	53	17	9	24	28	17	22	32	51	29	18	26	7	13	20	28	19	22	13	13	26	32	16	16	10	33	10	7	41
12	29		36	11	97	26	15	29	20	24	80	36	43	36	29	49	27	10	14	12	24	18	24	30	66	56	41	12	17	20	47	17	15	30	17	12	12	23	9	17	20	18	3	19	21	36	14	12	27	31	23	30	16	19	36	8	23	27	20
13	48		50	8	64	44	23	19	30	9	26	43	18	48	13	57	15	33	70	38	14	15	42	29	23	72	28	48	24	14	47	52	23	7	25	14	9	21	22	36	21	12	11	38	7	11	13	16	15	4	14	27	23	13	27	30	19	1	31
14	51		24	44	25	47	54	10	28	12	42	40	67	21	18	68	16	63	32	16	15	7	36	16	43	30	22	40	20	15	56	33	7	17	22	16	8	18	9	14	32	9	7	11	26	36	26	25	22	11	6	16	6	34	10	11	22	8	9
15	93		52	68	50	40	37	99	23	13	70	80	24	20	40	29	59	37	19	19	40	13	20	28	60	55	38	49	36	33	25	12	13	19	18	33	23	40	5	26	16	9	23	34	8	26	6	4	15	17	1	21	42	14	8	29	29	23	16
16	140		47	3	26	373	72	16	69	18	24	18	32	42	63	12	26	9	23	13	22	68	42	52	34	17	17	22	12	20	33	11	25	16	27	17	11	28	14	21	22	5	12	52	19	6	22	13	20	16	14	13	17	17	16	12	18	11	7
17	63		51	11	14	36	33	11	43	16	63	79	85	24	17	38	14	36	32	19	56	36	44	19	71	23	27	11	14	44	12	45	23	13	19	17	19	13	26	24	14	12	22	19	13	11	27	6	18	11	13	29	12	19	35	7	33	10	37
18	110		14	36	43	14	33	11	55	33	30	21	8	17	9	98	23	27	28	36	33	24	50	31	43	15	25	20	27	7	44	10	14	7	19	15	28	11	41	18	17	8	14	38	12	13	13	7	9	10	29	21	16	17	22	13	32	11	24
19	20		113	15	14	49	66	19	27	29	24	16	25	89	8	40	40	35	25	8	70	22	72	49	57	13	16	56	16	9	84	45	16	24	11	8	22	32	16	14	8	18	11	13	13	11	9	29	14	16	17	67	8	11	23	7	39	7	25
20	11		18	10	24	46	33	41	106	16	51	12	31	8	28	30	17	40	26	7	47	33	22	16	23	27	15	19	27	17	51	42	11	24	29	14	17	15	10	21	36	31	28	20	17	9	37	13	12	48	16	12	9	15	23	19	16	7	12
21	41		34	13	41	75	23	36	7	8	74	10	51	33	66	25	38	26	37	6	56	16	46	61	4	9	34	14	2	33	45	12	43	14	31	3	14	27	6	17	27	25	32	18	30	15	27	9	15	14	13	6	15	18	12	30	17	20	13
22	81		9	5	15		25	13	57	38	51	23	67	61	24	81	21	51	45	25	23	31	89	33	27	8	37	28	17	27	36	15	45	11	5	8	27	43	7	20	30	9	35	63	17	22	22	7	35	12	25	18	29	24	20	20	7	19	11
23	112		24	21	125		13	25	27	19	47	22	41	36	81		39	25	88	78	7	32	49	34	34	9	41	27	20	41	51	6	40	5	28	19	10	10	15	10	18	16	13	44	12	11	19	5	12	21	21	9	17	12	12	51	5	13	21
24			32	153	41		13	10	62	22	28	15	33	39	15		16	7	15	18	11	17	18	31	57	7	31	19	41	22	25	46	23	36	19	19	13	34	4	20	26	26	14	7	7	4	43	17	37	37	14	10	15	11	11	15	32	18	19
25			16	45	83		14	17	25	12	52	6	27	27	56		36	22	19	68	25	34	47	15	34	17	29	12	53	37	26	61	26	44	20	19	15	15	10	20	5	14	10	21	16	4	57	12	22	28	15	17	6	25	23	4	20	19	20
26			30	18	123		13	32	65	74		19	71	41	18		50	5	12	74	33	175	31	12	50	33	40	23	32	48	19	42	37	52	14	7	10	6	36	40	28	11	6	53	37	22	67	20	13	24	25	32	32	7	18	12	24	21	12
27			42	41	18		9	26	21	52		50	9	58	17		39	22	27		10	33	7	13	55	37	54	59	59	52	40	23	9	44	11	19	21	8	19		27	46	7	23	8	25	55	28	18	7	6	21	7	5	13	24	16	13	1
28			47	20	29		46	23	9	51		79	45	33	19		19	39	13		26	15	31	18	22	11	40	18	9	6	43	26	7	26	29	63	22	16	21		21	27	12	7	3	21	30	30	7	19	7	8	48	14	27	36	29	6	15
29			38	238	22		22	90	21	25		87	20	77	15		67	31	19		16	17	85	28	10	33	32	20	10	32	37	14	15	7	9	38	19	13	39		23	12	12	7	6	24	35	18	15	11	32	4	37	18	30	19	51	24	33
30			37	22	52		58	21	43	34		69	42	43	33		24	25	14		36	31	77	27	22	17	47	15	19	20	46	16	6	7	12	14	34	28	32		34	11	12	16	4	15	22	18	16	8	27	18	23	14	24	21	13	17	6
31			115	16	30		36	25	22	13			17	25	11		54	21	21		27	28	11	16	22	54	38	11	19	13	14	7	14	19	42	20	75	13	42		11	5	10	34	31	6	24	13	40	18	16	16	11	16	32	16	35	17	20
32			56	59	29		23	34	45	61			29	29	29		34	39	34		19	34	17	13	94	21	41	22	3	27	49	32	16	14	14	17	29	9	21		12	17	29	14	24	25	19	25	11	15	9	21	17	25	20	25	21	13	29
33			25	11	52		40	30	22	58			28	56	10		29	18	38		45	6	26	10	28	36	29	4	3	69	42	17	79	23	13	26	9	18	19		16	3	30	21	18	7	18	11	26	97	9	7	12	8	31	23	6	74	9
34			29	49	70			31	16	44			56	54	21		18	13	21		14	22	40	26	60	27	25	13	15		31	47	5	35	19	28	8	24	17		13	15	20	27	16	7	20	33	12	9	7	11	50	15	14	7	10	10	4
35			727	61	76			22	7	28			8	102	13		58	20	25		19	17	64	11	38	38	37	12	9		35	6	23	20	22	10	10	35	12		13	20	24	47	6	8	13	10	13	15	22	23	27	22	12	9	16	22	9
36			68	9	114			11	29	50			50	34	31		40	32	8		16	14	33	27	19	12	27	15	35		57	41	6	21	37	21	12	12	6		24	15	12	11	20	12	4	31	22	25	17	16	15	14	19	11	47	10	8
37			53	21	22			8	15	189			53	29	32		14	37	12		15	9	64	8	14	7	17	33	14		30	12	16	26	34	35	47	23	31		38	9	15	26	9	13	20	8	31	37	32	9	13	9	8	24	27	15	6
38				34	25			60	24	77			59	17	9		23	47	12		32	58	38	28	73	15	25	47	14		44	9	11	13	23	15	43	13	11		29	17	27	4	9	10	7	37	8	42	11	20	23	8	31	4	19	29	16
39				59	123			32	24	26			41	31	26		10	64	29		38	48	30	29	47	23	20	32	22		56	9	20	37	24	16	27	7	4		13	8	12	20	14	26	16	37	12	11	15	14	8	13	11	19	36	27	20
